"As Of Date","Time Series","Value (millions)"
"2019-06-26","PDGSIDBEXT","236314"
"2019-06-26","PDGSWOEXT","401084"
"2019-07-03","PDGSIDBEXT","185891"
"2019-07-03","PDGSWOEXT","371948"
"2019-07-10","PDGSIDBEXT","195354"
"2019-07-10","PDGSWOEXT","353197"
"2019-07-17","PDGSIDBEXT","164332"
"2019-07-17","PDGSWOEXT","304132"
"2019-07-24","PDGSIDBEXT","163644"
"2019-07-24","PDGSWOEXT","302727"
"2019-07-31","PDGSIDBEXT","193153"
"2019-07-31","PDGSWOEXT","364995"
"2019-08-07","PDGSIDBEXT","273426"
"2019-08-07","PDGSWOEXT","461510"
"2019-08-14","PDGSIDBEXT","218612"
"2019-08-14","PDGSWOEXT","384163"
"2019-08-21","PDGSIDBEXT","186852"
"2019-08-21","PDGSWOEXT","342458"
"2019-08-28","PDGSIDBEXT","200811"
"2019-08-28","PDGSWOEXT","366909"
"2019-09-04","PDGSIDBEXT","247770"
"2019-09-04","PDGSWOEXT","448323"
"2019-09-11","PDGSIDBEXT","223825"
"2019-09-11","PDGSWOEXT","413146"
"2019-09-18","PDGSIDBEXT","228929"
"2019-09-18","PDGSWOEXT","379114"
"2019-09-25","PDGSIDBEXT","228054"
"2019-09-25","PDGSWOEXT","395949"
"2019-10-02","PDGSIDBEXT","215054"
"2019-10-02","PDGSWOEXT","412428"
"2019-10-09","PDGSIDBEXT","193511"
"2019-10-09","PDGSWOEXT","331708"
"2019-10-16","PDGSIDBEXT","195912"
"2019-10-16","PDGSWOEXT","363997"
"2019-10-23","PDGSIDBEXT","156719"
"2019-10-23","PDGSWOEXT","296902"
"2019-10-30","PDGSIDBEXT","177545"
"2019-10-30","PDGSWOEXT","343638"
"2019-11-06","PDGSIDBEXT","217148"
"2019-11-06","PDGSWOEXT","413407"
"2019-11-13","PDGSIDBEXT","198588"
"2019-11-13","PDGSWOEXT","402038"
"2019-11-20","PDGSIDBEXT","165779"
"2019-11-20","PDGSWOEXT","329411"
"2019-11-27","PDGSIDBEXT","199388"
"2019-11-27","PDGSWOEXT","407151"
"2019-12-04","PDGSIDBEXT","208981"
"2019-12-04","PDGSWOEXT","376121"
"2019-12-11","PDGSIDBEXT","183096"
"2019-12-11","PDGSWOEXT","349145"
"2019-12-18","PDGSIDBEXT","172584"
"2019-12-18","PDGSWOEXT","312995"
"2019-12-25","PDGSIDBEXT","135261"
"2019-12-25","PDGSWOEXT","281879"
"2020-01-01","PDGSIDBEXT","114968"
"2020-01-01","PDGSWOEXT","260523"
"2020-01-08","PDGSIDBEXT","207325"
"2020-01-08","PDGSWOEXT","403615"
"2020-01-15","PDGSIDBEXT","155174"
"2020-01-15","PDGSWOEXT","316478"
"2020-01-22","PDGSIDBEXT","149133"
"2020-01-22","PDGSWOEXT","345084"
"2020-01-29","PDGSIDBEXT","200299"
"2020-01-29","PDGSWOEXT","404336"
"2020-02-05","PDGSIDBEXT","234550"
"2020-02-05","PDGSWOEXT","432891"
"2020-02-12","PDGSIDBEXT","171057"
"2020-02-12","PDGSWOEXT","356420"
"2020-02-19","PDGSIDBEXT","172974"
"2020-02-19","PDGSWOEXT","401134"
"2020-02-26","PDGSIDBEXT","251454"
"2020-02-26","PDGSWOEXT","472423"
"2020-03-04","PDGSIDBEXT","384646"
"2020-03-04","PDGSWOEXT","640816"
"2020-03-11","PDGSIDBEXT","344734"
"2020-03-11","PDGSWOEXT","524436"
"2020-03-18","PDGSIDBEXT","290079"
"2020-03-18","PDGSWOEXT","480428"
"2020-03-25","PDGSIDBEXT","285675"
"2020-03-25","PDGSWOEXT","562333"
"2020-04-01","PDGSIDBEXT","269381"
"2020-04-01","PDGSWOEXT","629864"
"2020-04-08","PDGSIDBEXT","234405"
"2020-04-08","PDGSWOEXT","554328"
"2020-04-15","PDGSIDBEXT","186610"
"2020-04-15","PDGSWOEXT","438464"
"2020-04-22","PDGSIDBEXT","165838"
"2020-04-22","PDGSWOEXT","376222"
"2020-04-29","PDGSIDBEXT","185127"
"2020-04-29","PDGSWOEXT","430019"
"2020-05-06","PDGSIDBEXT","188965"
"2020-05-06","PDGSWOEXT","427220"
"2020-05-13","PDGSIDBEXT","182031"
"2020-05-13","PDGSWOEXT","423882"
"2020-05-20","PDGSIDBEXT","169992"
"2020-05-20","PDGSWOEXT","399092"
"2020-05-27","PDGSIDBEXT","180703"
"2020-05-27","PDGSWOEXT","462115"
"2020-06-03","PDGSIDBEXT","205132"
"2020-06-03","PDGSWOEXT","515964"
"2020-06-10","PDGSIDBEXT","204837"
"2020-06-10","PDGSWOEXT","447012"
"2020-06-17","PDGSIDBEXT","169777"
"2020-06-17","PDGSWOEXT","379118"
"2020-06-24","PDGSIDBEXT","143450"
"2020-06-24","PDGSWOEXT","358753"
"2020-07-01","PDGSIDBEXT","161679"
"2020-07-01","PDGSWOEXT","422195"
"2020-07-08","PDGSIDBEXT","132032"
"2020-07-08","PDGSWOEXT","356845"
"2020-07-15","PDGSIDBEXT","125351"
