"As Of Date","Time Series","Value (millions)"
"2020-05-27","PDFTR-USTET","94834"
"2020-05-27","PDFTD-USTET","80351"
"2020-06-03","PDFTR-USTET","78200"
"2020-06-03","PDFTD-USTET","69052"
"2020-06-10","PDFTR-USTET","93943"
"2020-06-10","PDFTD-USTET","86241"
"2020-06-17","PDFTR-USTET","151887"
"2020-06-17","PDFTD-USTET","132517"
"2020-06-24","PDFTR-USTET","89154"
"2020-06-24","PDFTD-USTET","87138"
"2020-07-01","PDFTR-USTET","71524"
"2020-07-01","PDFTD-USTET","67949"
"2020-07-08","PDFTR-USTET","73979"
"2020-07-08","PDFTD-USTET","68840"
"2020-07-15","PDFTR-USTET","72452"
"2020-07-15","PDFTD-USTET","68708"
"2020-07-22","PDFTR-USTET","88001"
"2020-07-22","PDFTD-USTET","81828"
"2020-07-29","PDFTR-USTET","77251"
"2020-07-29","PDFTD-USTET","74278"
"2020-08-05","PDFTR-USTET","72536"
"2020-08-05","PDFTD-USTET","63888"
"2020-08-12","PDFTR-USTET","82836"
"2020-08-12","PDFTD-USTET","79646"
"2020-08-19","PDFTR-USTET","74267"
"2020-08-19","PDFTD-USTET","68452"
"2020-08-26","PDFTR-USTET","61353"
"2020-08-26","PDFTD-USTET","57976"
"2020-09-02","PDFTR-USTET","73812"
"2020-09-02","PDFTD-USTET","73030"
"2020-09-09","PDFTR-USTET","80929"
"2020-09-09","PDFTD-USTET","70050"
"2020-09-16","PDFTR-USTET","67783"
"2020-09-16","PDFTD-USTET","56138"
"2020-09-23","PDFTR-USTET","67048"
"2020-09-23","PDFTD-USTET","68519"
"2020-09-30","PDFTR-USTET","70776"
"2020-09-30","PDFTD-USTET","71378"
"2020-10-07","PDFTR-USTET","75388"
"2020-10-07","PDFTD-USTET","69477"
"2020-10-14","PDFTR-USTET","57267"
"2020-10-14","PDFTD-USTET","48380"
"2020-10-21","PDFTR-USTET","80249"
"2020-10-21","PDFTD-USTET","60691"
"2020-10-28","PDFTR-USTET","68101"
"2020-10-28","PDFTD-USTET","63040"
"2020-11-04","PDFTR-USTET","90885"
"2020-11-04","PDFTD-USTET","89635"
"2020-11-11","PDFTR-USTET","75823"
"2020-11-11","PDFTD-USTET","74304"
"2020-11-18","PDFTR-USTET","88598"
"2020-11-18","PDFTD-USTET","81652"
"2020-11-25","PDFTR-USTET","80581"
"2020-11-25","PDFTD-USTET","78612"
"2020-12-02","PDFTR-USTET","70084"
"2020-12-02","PDFTD-USTET","66956"
"2020-12-09","PDFTR-USTET","72223"
"2020-12-09","PDFTD-USTET","70781"
"2020-12-16","PDFTR-USTET","66317"
"2020-12-16","PDFTD-USTET","65256"
"2020-12-23","PDFTR-USTET","67664"
"2020-12-23","PDFTD-USTET","70337"
"2020-12-30","PDFTR-USTET","46152"
"2020-12-30","PDFTD-USTET","41852"
"2021-01-06","PDFTR-USTET","46171"
"2021-01-06","PDFTD-USTET","46838"
"2021-01-13","PDFTR-USTET","62155"
"2021-01-13","PDFTD-USTET","58005"
